fips;unemp
47061;67
47063;52
47065;47
47067;80
47069;63
47071;61
47073;55
47075;66
47077;70
47079;59
47081;46
47083;77
47085;61
47087;72
47089;54
47091;49
47093;41
47095;79
47097;78
47099;58
47101;61
47103;42
47105;48
47107;55
47109;71
47111;44
47113;50
47115;64
47117;46
47119;41
47121;69
47123;54
47125;52
47127;39
47129;66
47131;72
47133;55
47135;65
47137;67
47139;58
47141;50
47143;74
47145;56
47147;42
47149;38
47151;76
47153;59
47155;50
47157;55
47159;46
47161;70
47163;53
47165;39
47167;58
47169;49
47171;72
47173;58
47175;63
47177;49
47179;49
47181;67
47183;61
47185;51
47187;35
47189;39
48001;43
48003;48
48005;60
48007;57
48009;44
48011;28
48013;53
48015;53
48017;44
48019;41
48021;37
48023;36
48025;77
48027;44
48029;37
48031;31
48033;36
48035;43
48037;47
48039;52
48041;34
48043;38
48045;44
48047;119
48049;44
48051;47
48053;35
48055;43
48057;56
48059;43
48061;72
48063;68
48065;34
48067;73
48069;31
48071;61
48073;52
48075;31
48077;45
48079;56
48081;41
48083;59
48085;35
48087;35
48089;48
48091;36
48093;43
48095;36
48097;40
48099;45
48101;54
48103;85
48105;76
48107;44
48109;38
48111;23
48113;40
48115;51
48117;31
48119;40
48121;34
48123;56
48125;51
48127;72
48129;43
48131;111
48133;55
48135;64
48137;49
48139;38
48141;49
48143;41
48145;45
48147;38
48149;37
48151;44
48153;52
48155;39
48157;50
48159;50
48161;69
48163;50
48165;37
48167;53
48169;39
48171;28
48173;38
48175;58
48177;43
48179;70
48181;38
48183;61
48185;67
48187;36
48189;57
48191;71
48193;49
48195;31
48197;39
48199;61
48201;53
48203;61
48205;22
48207;44
48209;33
48211;38
48213;47
48215;78
48217;45
48219;47
48221;47
48223;40
48225;45
48227;56
48229;67
48231;43
48233;56
48235;32
48237;49
48239;48
48241;78
48243;29
48245;70
48247;96
48249;107
48251;43
48253;59
48255;49
48257;38
48259;32
48261;52
48263;30
48265;36
48267;39
48269;40
48271;60
48273;69
48275;44
48277;46
48279;66
48281;41
48283;52
48285;43
48287;38
48289;66
48291;76
48293;57
48295;46
48297;60
48299;41
48301;43
48303;34
48305;40
48307;46
48309;40
48311;22
48313;51
48315;71
48317;44
48319;37
48321;74
48323;113
48325;44
48327;46
48329;44
48331;52
48333;42
48335;72
48337;50
48339;49
48341;30
48343;110
48345;37
48347;47
48349;42
48351;81
48353;49
48355;57
48357;54
48359;30
48361;68
48363;56
48365;74
48367;41
48369;25
48371;59
48373;63
48375;33
48377;107
48379;40
48381;30
48383;66
48385;57
48387;59
48389;56
48391;68
48393;47
48395;50
48397;35
48399;41
48401;58
48403;96
48405;91
48407;63
48409;76
48411;34
48413;57
48415;59
48417;39
48419;60
48421;29
48423;45
48425;47
48427;136
48429;53
48431;42
48433;46
48435;80
48437;43
48439;39
48441;37
48443;41
48445;49
48447;37
48449;62
48451;45
48453;31
48455;63
48457;76
48459;65
48461;54
48463;53
48465;63
48467;43
48469;54
48471;53
48473;57
48475;58
48477;51
48479;49
48481;50
48483;50
48485;44
48487;48
48489;124
48491;33
48493;39
48495;79
48497;48
48499;53
48501;47
48503;44
48505;110
48507;141
49001;50
49003;35
49005;31
49007;59
49009;49
49011;31
49013;89
49015;63
49017;84
49019;58
49021;43
49023;36
49025;38
49027;33
49029;30
49031;60
49033;32
49035;32
49037;80
